,weights,success_tries
0,[  7.         -20.18600921 -13.21346771],799
1,[  4.         -11.61645834  -7.74033439],278
2,[  5.         -14.42766957  -9.57041657],419
3,[  6.         -17.27635855 -11.32476582],572
4,[  4.         -11.52018866  -7.64451568],272
5,[  6.         -17.2923307  -11.39097588],592
6,[  5.         -14.55529019  -9.63275095],413
7,[ 2.         -5.75928845 -3.76108283],76
8,[  6.         -17.53023798 -11.7117823 ],586
9,[  5.         -14.42416964  -9.46839219],447
10,[  8.         -23.44281839 -15.69083125],1082
11,[  6.         -17.23554134 -11.36720182],608
12,[  6.         -17.33842049 -11.38798338],618
13,[  5.         -14.56895297  -9.72482938],461
14,[  7.         -20.35280203 -13.47032258],847
15,[  4.         -11.68614023  -7.82745238],286
16,[  5.         -14.43955556  -9.5100059 ],439
17,[  6.         -17.3547572  -11.44252861],624
18,[  4.        -11.4969219  -7.5606981],260
19,[ 2.         -5.81029619 -3.861898  ],72
20,[  6.         -17.32467187 -11.4593459 ],600
21,[  5.         -14.42390099  -9.52441697],401
22,[  7.         -20.19149832 -13.35429988],805
23,[ 2.         -5.75031993 -3.77710939],70
24,[  5.         -14.42306271  -9.46702768],407
25,[  5.         -14.48536979  -9.51001474],419
26,[  5.         -14.39409067  -9.43680533],419
27,[  8.         -22.99494265 -15.08996659],1008
28,[  6.         -17.34042131 -11.35747595],612
29,[  4.         -11.54644845  -7.58003792],278
30,[  5.         -14.49989313  -9.64408316],417
31,[  4.         -11.56049226  -7.6107935 ],302
32,[  7.         -20.14444946 -13.19405787],781
33,[  7.         -20.16470357 -13.14091267],783
34,[  4.         -11.62107703  -7.74108262],264
35,[  5.         -14.52172051  -9.60433614],433
36,[  8.         -23.05206721 -15.05346619],1066
37,[  5.         -14.39577389  -9.48967411],411
38,[  5.         -14.50603767  -9.64752457],403
39,[  5.         -14.57295383  -9.71617697],417
40,[  5.         -14.49962542  -9.557507  ],417
41,[  6.         -17.3266185  -11.36773808],606
42,[  6.         -17.29110255 -11.40152769],602
43,[  4.         -11.63569689  -7.72382973],270
44,[  6.         -17.380775   -11.58933864],630
45,[ 3.         -8.70461793 -5.73444508],177
46,[  5.         -14.58393172  -9.70748511],413
47,[  6.         -17.39642531 -11.51062435],578
48,[  6.         -17.33098402 -11.40081912],604
49,[  6.         -17.50725063 -11.7051838 ],608
50,[  6.         -17.26946975 -11.25553522],528
51,[  9.         -25.95190003 -17.19446563],1353
52,[ 3.         -8.70828402 -5.79730943],153
53,[ 2.         -5.76222014 -3.75493406],72
54,[  5.         -14.62368223  -9.82060932],437
55,[  6.         -17.44195213 -11.54172983],610
56,[  6.         -17.26799545 -11.43184749],590
57,[  7.         -20.20138452 -13.22177512],825
58,[  4.         -11.6192959   -7.70231272],278
59,[  5.         -14.5076368   -9.61119557],399
60,[ 3.         -8.7558183  -5.83314112],155
61,[  4.         -11.69530463  -7.82553815],282
62,[  6.         -17.28123995 -11.44941232],618
63,[ 3.         -8.69947877 -5.79754691],155
64,[  6.         -17.27703324 -11.38642954],616
65,[  5.         -14.46991976  -9.63692591],419
66,[  6.         -17.52569538 -11.66486149],592
67,[  6.         -17.28315147 -11.39602478],576
68,[  6.         -17.27980802 -11.27062428],560
69,[ 2.         -5.79293357 -3.83880494],66
70,[  5.         -14.40644338  -9.49068446],399
71,[  5.         -14.38303381  -9.39336019],395
72,[  7.         -20.11097215 -13.27143277],781
73,[  6.         -17.28983337 -11.35672889],588
74,[  6.         -17.36593753 -11.55244734],610
75,[  7.         -20.41707897 -13.57324609],847
76,[  5.         -14.47557181  -9.48211657],427
77,[  8.         -23.03911631 -15.25192054],1084
78,[  6.         -17.30500547 -11.35454413],610
79,[  5.         -14.52459751  -9.68714054],425
80,[ 3.         -8.63593328 -5.67313403],163
81,[  5.         -14.39820226  -9.4056364 ],401
82,[  5.         -14.44716404  -9.44102546],395
83,[  4.         -11.53576361  -7.62334   ],250
84,[  6.         -17.33269666 -11.45781598],602
85,[ 2.         -5.79001355 -3.82225296],66
86,[  7.         -20.09820647 -13.27771169],797
87,[  7.         -20.14005775 -13.33617671],815
88,[  5.         -14.54372623  -9.68318041],409
89,[  7.         -20.25415983 -13.35477947],815
90,[  7.         -20.24176352 -13.30338046],817
91,[  6.         -17.3425727  -11.42391295],590
92,[  4.         -11.65445321  -7.73123341],276
93,[  6.         -17.25910638 -11.27449602],578
94,[  8.         -23.01434975 -15.07643646],1048
95,[  6.         -17.35408188 -11.54807724],604
96,[  5.         -14.37051386  -9.45854163],393
97,[  6.         -17.32514536 -11.44895346],582
98,[  4.         -11.58296159  -7.62460354],302
99,[  5.         -14.48083137  -9.63922007],425
100,[  5.         -14.4969828   -9.60275273],437
101,[  5.         -14.41772708  -9.57349597],429
102,[  4.         -11.68116201  -7.78480068],272
103,[ 3.         -8.71371167 -5.78713948],155
104,[  5.         -14.41990533  -9.49760834],413
105,[ 2.         -5.79632415 -3.83937746],72
106,[ 3.         -8.73697358 -5.83456138],183
107,[  5.         -14.54624663  -9.64551153],437
108,[  5.         -14.44145199  -9.52573253],413
109,[  4.         -11.66272957  -7.76277978],284
110,[  6.         -17.55510401 -11.74652928],612
111,[  5.         -14.52277278  -9.65208407],405
112,[  6.         -17.26616995 -11.24609858],586
113,[  8.         -23.05234653 -15.22000861],1040
114,[  5.         -14.46427658  -9.48910851],387
115,[  5.         -14.37722094  -9.51829958],413
116,[  6.         -17.3323794  -11.51893874],610
117,[  5.         -14.48604661  -9.61855754],413
118,[  4.         -11.65604996  -7.76132638],264
119,[ 3.         -8.79527312 -5.89926936],171
120,[ 3.         -8.73418656 -5.83984182],161
121,[  4.         -11.65322674  -7.7937299 ],278
122,[  5.         -14.42483465  -9.58390193],417
123,[  4.         -11.66831753  -7.80156851],296
124,[  4.         -11.54082831  -7.56947745],274
125,[  8.         -23.33211829 -15.60129023],1048
126,[  5.         -14.52478813  -9.60160439],451
127,[  6.         -17.285775   -11.32025005],600
128,[  5.         -14.45705759  -9.58800748],399
129,[  4.         -11.52045385  -7.53731688],272
130,[  5.         -14.42208537  -9.46041459],435
131,[  7.         -20.46474283 -13.72040002],819
132,[  5.         -14.44647325  -9.58998512],437
133,[  6.         -17.30875944 -11.48962727],604
134,[  4.         -11.55175064  -7.6803981 ],264
135,[  4.         -11.71825378  -7.86856033],282
136,[  5.         -14.48175405  -9.60781956],397
137,[  5.         -14.43054765  -9.55396701],431
138,[  6.         -17.27013322 -11.44983945],610
139,[  6.         -17.3585606  -11.55852371],634
140,[  4.         -11.5226461   -7.62668822],290
141,[  4.         -11.56103127  -7.62630251],274
142,[  6.         -17.26718383 -11.36957211],604
143,[  7.         -20.1122786  -13.25283511],813
144,[  5.         -14.40801241  -9.42831875],421
145,[  6.         -17.29174275 -11.40266551],596
146,[  5.         -14.63961566  -9.80707643],437
147,[  6.         -17.27172005 -11.41496819],570
148,[  6.         -17.47665984 -11.59769678],588
149,[  5.         -14.51060563  -9.57295827],407
150,[  6.         -17.28043359 -11.28201651],624
151,[  6.         -17.39095773 -11.48702007],624
152,[  4.         -11.55292642  -7.66738301],270
153,[  5.         -14.50663607  -9.634093  ],437
154,[  6.         -17.32212264 -11.33291792],580
155,[  6.         -17.33316342 -11.46219893],616
156,[  5.         -14.44586246  -9.52622917],439
157,[  5.         -14.38833367  -9.50817028],437
158,[  7.         -20.29385006 -13.37192707],805
159,[ 3.         -8.69452229 -5.79748934],145
160,[  6.         -17.48859295 -11.63102543],614
161,[  5.         -14.43065213  -9.47165356],423
162,[  5.         -14.47978799  -9.5231676 ],427
163,[  8.         -23.29943028 -15.56040687],1044
164,[  4.         -11.54617679  -7.54475877],290
165,[  4.         -11.51194381  -7.55149987],258
166,[  5.         -14.63983317  -9.82244393],451
167,[  6.         -17.3744197  -11.44071545],616
168,[  6.         -17.4174399  -11.47199981],596
169,[  5.         -14.38220599  -9.49955411],441
170,[  5.         -14.43084052  -9.50309079],407
171,[  6.         -17.529493   -11.70509429],634
172,[  5.         -14.49475093  -9.59903346],393
173,[  5.         -14.57951105  -9.68586442],427
174,[  4.         -11.54314525  -7.60564398],276
175,[  7.         -20.36659246 -13.46758255],807
176,[  6.         -17.4474571  -11.62003087],642
177,[  4.         -11.56941294  -7.69901905],274
178,[ 1.         -2.87704791 -1.89373359],19
179,[ 3.         -8.64178221 -5.68454148],155
180,[  5.         -14.4455443   -9.60711147],433
181,[  6.         -17.47953473 -11.59289893],592
182,[  5.         -14.63170904  -9.83171525],441
183,[  7.         -20.17110186 -13.24042838],775
184,[  5.         -14.47886733  -9.61474253],399
185,[  7.         -20.2425911  -13.29439736],783
186,[ 3.         -8.74896134 -5.84269493],161
187,[  6.         -17.29641115 -11.3847057 ],608
188,[  7.         -20.16341178 -13.31506213],803
189,[  6.         -17.32154113 -11.49660499],588
190,[  6.         -17.28910843 -11.40464241],624
191,[  4.         -11.52793255  -7.60939065],278
192,[  7.         -20.22129722 -13.33336942],817
193,[  6.         -17.50147519 -11.69285797],608
194,[  8.         -23.17518111 -15.37785113],1066
195,[  5.         -14.55062614  -9.64607036],421
196,[  6.         -17.46568746 -11.61891832],608
197,[  5.         -14.41146099  -9.49869061],407
198,[  6.         -17.46992844 -11.61482934],612
199,[ 3.         -8.68160882 -5.6860559 ],141
200,[  5.         -14.40790494  -9.48165594],383
